3038955,Terra Bogada,Terra Bogada,,42.4682,1.49909,L,LCTY,AD,,6,,,,0,,1066,Europe/Andorra,08-04-15
3038956,Canal del Teix√≥,Canal del Teixo,,42.55646,1.50498,H,STM,AD,,4,,,,0,,1289,Europe/Andorra,06-02-15
3038957,Coma de Teix,Coma de Teix,,42.46842,1.47084,T,SLP,AD,,6,,,,0,,1710,Europe/Andorra,08-04-15
3038958,Font de les Taules,Font de les Taules,,42.55315,1.55727,H,SPNG,AD,,5,,,,0,,1853,Europe/Andorra,06-02-15
3038959,Coma Tarterosa,Coma Tarterosa,,42.48716,1.45937,H,RVN,AD,,6,,,,0,,1430,Europe/Andorra,08-03-15
3038960,Bosc de la Tarterosa,Bosc de la Tarterosa,,42.60215,1.64186,V,FRST,AD,,2,,,,0,,2007,Europe/Andorra,03-12-14
3038961,Tarter Gran,Tarter Gran,,42.58148,1.45787,L,LCTY,AD,,4,,,,0,,1998,Europe/Andorra,05-11-14
3038962,Tartera Gran,Tartera Gran,,42.48102,1.47442,L,LCTY,AD,,6,,,,0,,1304,Europe/Andorra,08-03-15
3038963,Pont del Tarter,Pont del Tarter,,42.57811,1.64897,S,BDG,AD,,2,,,,0,,1686,Europe/Andorra,03-12-14
3038964,Coll de la T√ pia,Coll de la Tapia,,42.47156,1.4909,T,PASS,AD,,6,,,,0,,1092,Europe/Andorra,08-04-15
3038965,Canal Tancada,Canal Tancada,,42.48899,1.55854,H,STM,AD,,8,,,,0,,1919,Europe/Andorra,06-05-15
3038966,Roc del Tampuent,Roc del Tampuent,,42.58498,1.48339,T,RK,AD,,4,,,,0,,1955,Europe/Andorra,05-11-14
3038967,Basers de les Tallades,Basers de les Tallades,,42.50094,1.46747,T,CLF,AD,,7,,,,0,,2076,Europe/Andorra,08-03-15
3038968,Bosc de la Tallada Nova,Bosc de la Tallada Nova,,42.58466,1.47311,V,FRST,AD,,4,,,,0,,1917,Europe/Andorra,05-11-14
3038969,Cam√≠ de la Tallada,Cami de la Tallada,,42.4893,1.57116,R,TRL,AD,,8,,,,0,,2090,Europe/Andorra,06-05-15
3038970,Canal del Tabanell,Canal del Tabanell,,42.57975,1.51897,H,STM,AD,,5,,,,0,,1362,Europe/Andorra,03-12-14
3038971,Bosc del Tabanell,Bosc del Tabanell,,42.58113,1.50496,V,FRST,AD,,5,,,,0,,1920,Europe/Andorra,05-11-14
3038972,Suriguera,Suriguera,"Soriguera,Suriguera",42.58664,1.60654,T,SLP,AD,,2,,,,0,,2032,Europe/Andorra,03-12-14
3038973,Sudornar,Sudornar,,42.58341,1.45016,T,SLP,AD,,4,,,,0,,2275,Europe/Andorra,05-11-14
3038974,Font del Sucre,Font del Sucre,,42.52245,1.47512,H,SPNG,AD,,4,,,,0,,1808,Europe/Andorra,08-03-15
3038975,Costa de la Sucarana,Costa de la Sucarana,,42.6067,1.49918,T,SLP,AD,,5,,,,0,,2161,Europe/Andorra,05-11-14
3038976,Canya de la Sucarana,Canya de la Sucarana,,42.60509,1.50477,T,GRGE,AD,,5,,,,0,,2005,Europe/Andorra,05-11-14
3038977,Borda del Sucarana,Borda del Sucarana,,42.55439,1.58269,S,HUT,AD,,2,,,,0,,1780,Europe/Andorra,06-02-15
3038979,Pla de Sorteny,Pla de Sorteny,,42.62188,1.56503,T,UPLD,AD,,5,,,,0,,1952,Europe/Andorra,05-11-14
3038980,Marrades de Sorteny,Marrades de Sorteny,,42.62147,1.55236,R,TRL,AD,,5,,,,0,,1837,Europe/Andorra,05-11-14
3038981,Sorteny,Sorteny,,42.61675,1.57936,L,AREA,AD,,5,,,,0,,2407,Europe/Andorra,05-11-14
